Station_Name,Beach_Name,Municipality,County_Name,Incident_Start_Date,Incident_End_Date,Location_Type_Name,Beach_Act_Type_Name,Beach_Reason_Type_Name,Beach_Reason_Type_Desc,Beach_Source_Type_Name,Beach_Source_Type_Desc,Beach_Indicator_Type_Name,Beach_Indicator_Type_Desc,Incident_Additional_Comments
AC1084,North Carolina,Atlantic City,Atlantic,07/28/2015,07/29/2015,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `235`{AC1084 : `235`}
AC1084,North Carolina,Atlantic City,Atlantic,07/29/2015,07/30/2015,Ocean,CLOSURE,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Closure: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `120`{AC1084 : `120` AC1084N1 : `N/A` AC1084S1 : `N/A`}
AC1084,North Carolina,Atlantic City,Atlantic,07/06/2016,07/07/2016,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `175`{AC1084 : `175`}
AC1084,North Carolina,Atlantic City,Atlantic,07/25/2017,07/26/2017,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `120`{AC1084 : `120`}
AC1084,North Carolina,Atlantic City,Atlantic,07/26/2017,07/27/2017,Ocean,CLOSURE,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Closure: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `120`{AC1084 : `105` AC1084N1 : `120` AC1084S1 : `115`}
AC1073,South Carolina,Atlantic City,Atlantic,05/31/2005,06/01/2005,Ocean,CLOSURE,SEWAGE,Atlantic City Spill - South Carolina,SEWER_LINE,,PREEMPT,,
AC1073,South Carolina,Atlantic City,Atlantic,07/28/2015,07/29/2015,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `205`{AC1073 : `205`}
AC1073,South Carolina,Atlantic City,Atlantic,07/06/2016,07/07/2016,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `110`{AC1073 : `110`}
AC1083,St. James,Atlantic City,Atlantic,07/28/2015,07/29/2015,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `105`{AC1083 : `105`}
AC1083,St. James,Atlantic City,Atlantic,07/06/2016,07/07/2016,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `285`{AC1083 : `285`}
AC1070,Kentucky,Atlantic City,Atlantic,05/31/2005,06/01/2005,Ocean,CLOSURE,SEWAGE,Atlantic City Spill - Kentucky,SEWER_LINE,,PREEMPT,,
AC1070,Kentucky,Atlantic City,Atlantic,07/28/2015,07/29/2015,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `110`{AC1070 : `110`}
AC1070,Kentucky,Atlantic City,Atlantic,07/06/2016,07/07/2016,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `300`{AC1070 : `300`}
AC1074,Illinois,Atlantic City,Atlantic,07/06/2016,07/07/2016,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `300`{AC1074 : `300`}
AC1016,Arkansas,Atlantic City,Atlantic,07/06/2016,07/07/2016,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `300`{AC1016 : `300`}
AC1082,Michigan,Atlantic City,Atlantic,07/06/2016,07/07/2016,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `300`{AC1082 : `300`}
AC1075,Missouri,Atlantic City,Atlantic,07/06/2016,07/07/2016,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `300`{AC1075 : `300`}
AC1075,Missouri,Atlantic City,Atlantic,07/25/2017,07/26/2017,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `122`{AC1075 : `122`}
AC1075,Missouri,Atlantic City,Atlantic,07/26/2017,07/27/2017,Ocean,CLOSURE,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Closure: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `175`{AC1075 : `165` AC1075N1 : `175` AC1075S1 : `170` AC1075S2 : ``}
AC1081,Texas,Atlantic City,Atlantic,07/28/2015,07/29/2015,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `125`{AC1081 : `125`}
AC1081,Texas,Atlantic City,Atlantic,07/06/2016,07/07/2016,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `190`{AC1081 : `190`}
AC1017,Chelsea,Atlantic City,Atlantic,07/28/2015,07/29/2015,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `110`{AC1017 : `110`}
AC1085,Bartram,Atlantic City,Atlantic,07/25/2017,07/26/2017,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `175`{AC1085 : `175`}
AC1085,Bartram,Atlantic City,Atlantic,07/26/2017,07/27/2017,Ocean,CLOSURE,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Closure: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `120`{AC1085 : `110` AC1085N1 : `120` AC1085S1 : `105` AC1085N2 : `` AC1085S2 : `` AC1085N3 : `` AC1085S3 : ``}
AC1195,Iowa Ave,Atlantic City,Atlantic,07/28/2015,07/29/2015,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `145`{AC1195 : `145`}
AC1195,Iowa Ave,Atlantic City,Atlantic,07/06/2016,07/07/2016,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `145`{AC1195 : `145`}
AC1229,Annapolis Ave,Atlantic City,Atlantic,07/25/2017,07/26/2017,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `130`{AC1229 : `130`}
AC1229,Annapolis Ave,Atlantic City,Atlantic,07/26/2017,07/27/2017,Ocean,CLOSURE,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Closure: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `525`{AC1229 : `260` AC1229N1 : `525` AC1229S1 : `230` AC1229N2 : `` AC1229S2 : `` AC1229S3 : ``}
AC1091,26th St South,Brigantine City,Atlantic,09/16/2014,09/17/2014,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `120`{AC1091 : `120`}
OC1122S,5th St,Beach Haven Borough,Ocean,06/16/2012,06/17/2012,Ocean,CLOSURE,OTHER,precaution syringe washup,OTHER,,OTHER,,
OC1125S,Pelham,Beach Haven Borough,Ocean,06/16/2012,06/17/2012,Ocean,CLOSURE,OTHER,precaution syringe washup,OTHER,,OTHER,,
OC1078,Taylor Ocean Front,Beach Haven Borough,Ocean,06/16/2012,06/17/2012,Ocean,CLOSURE,OTHER,precaution syringe washup,OTHER,,OTHER,,
OC1078,Taylor Ocean Front,Beach Haven Borough,Ocean,08/30/2016,08/31/2016,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `240`{OC1078 : `240`}
OC1080,Leeward St,Beach Haven Borough,Ocean,07/13/2015,07/14/2015,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Confluent Growth Issue.
OC1080,Leeward St,Beach Haven Borough,Ocean,07/14/2015,07/15/2015,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Confluent Growth Issue
OC1080,Leeward St,Beach Haven Borough,Ocean,07/15/2015,07/16/2015,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Confluent Growth Issue
OC1080,Leeward St,Beach Haven Borough,Ocean,07/21/2015,07/22/2015,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `220`{OC1080 : `220`}
OC1080,Leeward St,Beach Haven Borough,Ocean,08/30/2016,08/31/2016,Ocean,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `160`{OC1080 : `160`}
OC1314S,North Leeward St III,Beach Haven Borough,Ocean,06/16/2012,06/17/2012,Ocean,CLOSURE,OTHER,precaution syringe washup,OTHER,,OTHER,,
OC1520,12th St,Beach Haven Borough,Ocean,06/16/2012,06/17/2012,Ocean,CLOSURE,OTHER,precaution syringe washup,OTHER,,OTHER,,
OC1521,2nd St,Beach Haven Borough,Ocean,06/16/2012,06/17/2012,Ocean,CLOSURE,OTHER,precaution syringe washup,OTHER,,OTHER,,
OC1522,Engleside,Beach Haven Borough,Ocean,06/16/2012,06/17/2012,Ocean,CLOSURE,OTHER,precaution syringe washup,OTHER,,OTHER,,
OC1523,Pearl,Beach Haven Borough,Ocean,06/16/2012,06/17/2012,Ocean,CLOSURE,OTHER,precaution syringe washup,OTHER,,OTHER,,
OC1524,Belvoir,Beach Haven Borough,Ocean,06/16/2012,06/17/2012,Ocean,CLOSURE,OTHER,precaution syringe washup,OTHER,,OTHER,,
OC1525,Essex,Beach Haven Borough,Ocean,06/16/2012,06/17/2012,Ocean,CLOSURE,OTHER,precaution syringe washup,OTHER,,OTHER,,
OC1559,Center St,Beach Haven Borough,Ocean,06/16/2012,06/17/2012,Ocean,CLOSURE,OTHER,precaution syringe washup,OTHER,,OTHER,,
MC0044,Ideal,Middletown Township,Monmouth,08/24/2010,08/25/2010,Bay,CONTAM_ADV,ELEV_BACT,,STORM,,ENTERO,,
MC0044,Ideal,Middletown Township,Monmouth,08/31/2011,09/01/2011,Bay,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,
MC0044,Ideal,Middletown Township,Monmouth,06/12/2012,06/13/2012,Bay,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,
MC0044,Ideal,Middletown Township,Monmouth,06/02/2015,06/03/2015,Bay,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `150`{MC0044 : `150`}
MC0044,Ideal,Middletown Township,Monmouth,07/06/2016,07/07/2016,Bay,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `640`{MC0044 : `640`}
MC0044,Ideal,Middletown Township,Monmouth,07/07/2016,07/08/2016,Bay,CLOSURE,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Closure: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `140`{MC0044 : `140` MC0044N1 : `60` MC0044S1 : `70`}
MC0044,Ideal,Middletown Township,Monmouth,07/25/2017,07/26/2017,Bay,CONTAM_ADV,ELEV_BACT,,UNKNOWN,,ENTERO,,Automated Advisory: This beach (and/or its bracket stations) had a verified result that was over the WQSE Value `104`. Highest Result Measure: `140`{MC0044 : `140`}
MC0045,Thompson,Middletown Township,Monmouth,08/10/2005,08/11/2005,Bay,CLOSURE,ELEV_BACT,Leonardo - Thompson Avenue,UNKNOWN,,ENTERO,,
MC0045,Thompson,Middletown Township,Monmouth,06/23/2008,06/24/2008,Bay,CONTAM_ADV,CHEM_OIL,fuel spill at marina,OTHER,,PREEMPT,,
MC0045,Thompson,Middletown Township,Monmouth,07/27/2009,07/28/2009,Bay,CLOSURE,OTHER,seaweed,UNKNOWN,,PREEMPT,,
